slug,order,indexTitle,indexMeta,panelType,h2Line1,h2Middle,h2Line2,description,heroImage,galleryAriaLabel,footerTag1,footerTag2,footerTag3
## identifiant (ne pas modifier),ordre d'affichage,titre évocateur dans l'index,catégorie affichée dans l'index (Projet · Discipline),catégorie affichée dans la grande section (Intention · Discipline),1re ligne du titre,mot(s) plus petit(s) entre les deux lignes (optionnel — laisser vide si inutile),2e ligne du titre (italique),paragraphe de description,image utilisée comme vignette dans l'index,description de la galerie pour les lecteurs d'écran,tag 1 en bas de section,tag 2 en bas de section,tag 3 en bas de section
cabane,1,Habiter le paysage,Cabane bois · Architecture intérieure,Habiter le paysage · Architecture intérieure,Cabane,dans les,bois,"L’intention était de concevoir un espace qui ne cherche pas à s’imposer dans son environnement, mais à en prolonger l’atmosphère. Une manière d’habiter le paysage : ralentir, observer et laisser la nature participer à l’espace.",./assets/projects/cabane/cabane-hero.webp,Vues du projet Cabane bois,Matière brute,Immersion,Double hauteur
nike,2,Activer la ville,Nike · Scénographie événementielle,Activer la ville · Scénographie événementielle,Run your,,line,"Une salle de sport éphémère en plein air, pensée pour rendre le sport accessible et engager la communauté. Inspirées du swoosh, les lignes colorées incarnent trajectoire, énergie et diversité des parcours.",./assets/projects/nike/nike-storefront.webp,Activation sportive Nike implantée au centre-ville de Tours,Activation Nike,Tours,Identité & espace
veranda,3,Prolonger l’existant,Véranda · Aménagement,Prolonger l’existant · Aménagement,La,,véranda,"Un travail sur la relation entre usages, volumes, matières et environnement, avec la volonté de créer un espace fonctionnel, esthétique et agréable à vivre. La conception s’appuie sur une continuité visuelle et matérielle.",./assets/projects/veranda/veranda-interior.webp,Étapes du projet Véranda,Dessin à la main,Plan & élévations,Matières naturelles
cave,4,Creuser l’atmosphère,Cave · Dégustation & exposition,Creuser l’atmosphère · Dégustation & exposition,La,,cave,"Pierre, bois et lumière maîtrisée donnent au lieu une identité sobre et intemporelle. L’architecture accompagne la découverte du vin sans prendre le dessus sur l’expérience.",./assets/projects/cave/cave-lounge.webp,Vues du projet Cave,Pierre,Scénographie du vin,Lumière contenue
